Location,Location_tag_final
淺水灣,#無障礙#夏天戲水#親子共遊#送夕陽
林初埤木棉花道,#無障礙#賞花#單車漫遊
陽明山溫泉,#泡溫泉
龍鳳漁港,#賞夜景#單車漫遊#觀景平台#非吃不可
通霄神社,#打卡熱點#寺廟祈福
大湖草莓文化館,#非吃不可#打卡熱點
高跟鞋教堂,#無障礙#拍婚紗#打卡熱點#浪漫約會
苗栗客家圓樓,#漫遊客庄
張學良文化園區,#打卡熱點#古蹟巡禮
苑港觀光漁港,#親子共遊#賞夜景#非吃不可
永安漁港,#送夕陽#非吃不可#看海景#親子共遊
汶水老街,#逛老街#漫遊客庄
東石漁人碼頭(東石漁港),#無障礙#夏天戲水#非吃不可#打卡熱點
鹿野高台,#無障礙#觀景平台
櫻木花道,#賞花
三坑老街,#逛老街#漫遊客庄#單車漫遊
伯朗大道,#無障礙#打卡熱點#單車漫遊
北投圖書館,#親子共遊
富基漁港,#非吃不可#非吃不可#看海景
大溪橋,#浪漫約會#賞夜景#打卡熱點
中興文化創意園區,#打卡熱點#打卡熱點#看展覽#看展覽
綠世界生態農場,#無障礙#親子共遊
多良車站,#打卡熱點
車埕車站,#無障礙
太平老街,#逛老街
雙心石滬,#打卡熱點#浪漫約會
禮納里部落,#無障礙
台西漁港,#送夕陽
羅東林業文化區,#打卡熱點#親子共遊
石門風箏公園,#親子共遊
礁溪溫泉公園,#泡溫泉
頂湖自然生態公園,#無障礙
大溪老茶廠,#打卡熱點
虎尾鐵橋,#古蹟巡禮
巴陵古道生態園區,#觀景平台
東港漁港漁產品直銷中心(華僑市場),#無障礙#非吃不可
綠色隧道景觀公園,#單車漫遊#賞花#親子共遊
觀音濱海遊憩區,#送夕陽#浪漫約會
花蓮文化創意產業園區,#無障礙#打卡熱點
松園別館,#無障礙#打卡熱點
舊草嶺隧道,#無障礙#單車漫遊#古蹟巡禮
再見捌捌陸-臺灣眷村文化園區,#看展覽
東隆宮,#無障礙#寺廟祈福
篤行十村眷村文化園區,#無障礙#打卡熱點
吉安慶修院,#無障礙#古蹟巡禮
椬梧滯洪池,#無障礙#單車漫遊
觸口天長地久橋,#無障礙#打卡熱點
神威天臺山,#無障礙#寺廟祈福
荷苞山咖啡園區,#登山步道#賞花
圓潭自然生態園區,#無障礙
碧雲寺,#無障礙#古蹟巡禮#寺廟祈福
水晶教堂,#無障礙#拍婚紗#打卡熱點
阿里山森林鐵路車庫園區,#打卡熱點
崎峰濕地,#無障礙
貯木池,#無障礙
水火同源,#無障礙#地質奇觀
石門婚紗廣場,#無障礙#浪漫約會#拍婚紗#打卡熱點
雲嘉南濱海國家風景區-口湖遊客中心,#無障礙
車埕木業展示館,#無障礙#親子共遊
加路蘭遊憩區,#無障礙#打卡熱點#看展覽
寶來遊客服務區,#無障礙
日月潭纜車,#無障礙#打卡熱點
美綠生態園區,#無障礙#親子共遊
水社碼頭,#無障礙#親子共遊#單車漫遊
牛埔仔草原,#無障礙#浪漫約會
清水岩寺,#無障礙#寺廟祈福
大農大富平地森林園區,#無障礙#單車漫遊#賞花#親子共遊
濱灣公園,#無障礙#夏天戲水
谷關遊客中心,#無障礙
稻荷咖工作坊,#無障礙#親子共遊
隙頂象山觀景臺,#無障礙
北海岸海灣探索館,#無障礙#親子共遊
向山自行車道,#無障礙#單車漫遊
樂活襪之鄉博物館,#無障礙#博物館#親子共遊
車埕遊客中心,#無障礙#親子共遊
水社商圈,#無障礙#逛老街
福井鐵道文物館,#無障礙#打卡熱點
台灣手套博物館,#無障礙#博物館#親子共遊
清水岩生態展示中心,#無障礙#親子共遊
錢來也雜貨店,#無障礙#打卡熱點
就是愛荔枝樂園,#無障礙#賞花#浪漫約會#親子共遊
八田與一紀念園區,#無障礙#打卡熱點#古蹟巡禮
隘門沙灘,#無障礙#夏天戲水#打卡熱點
大菓葉柱狀玄武岩,#無障礙#地質奇觀
林班道體驗工廠,#無障礙#親子共遊
關山米國學校,#無障礙#賞花
美雅家具觀光工廠,#無障礙#親子共遊
洲南鹽場,#無障礙#親子共遊
經國先生紀念堂,#無障礙#看展覽
馬祖境天后宮,#無障礙#寺廟祈福
南竿遊客中心,#無障礙
北寮遊憩區,#無障礙#地質奇觀#夏天戲水#迎曙光
布農部落休閒農場,#無障礙#親子共遊
福源老茶廠,#親子共遊#打卡熱點
津沙聚落,#無障礙#送夕陽#夏天戲水
小門地質館,#無障礙#看展覽#地質奇觀
中央老街,#無障礙#逛老街#古蹟巡禮
成功海洋環境教室,#無障礙
都蘭紅糖文化園區,#無障礙
嶺頂公園,#無障礙#親子共遊#看展覽
新元昌紅茶產業文化館,#無障礙#親子共遊
北竿遊客中心,#無障礙
鄒族自然與文化中心,#無障礙
李子園小舖,#無障礙
庫巴(男子集會所),#無障礙
大漢據點,#無障礙
戰爭和平紀念館,#無障礙
日警官舍,#無障礙
臺北市立兒童新樂園,#親子共遊
綠島燈塔,#打卡熱點#燈塔
大溪中正公園,#親子共遊
立法院議政博物館,#博物館
富岡老街,#逛老街
圳頭里軍史公園,#親子共遊
郭元益糕餅博物館,#博物館#親子共遊
范姜老屋群,#古蹟巡禮
稻米故事館,#博物館
功維敘隧道,#無障礙#打卡熱點
六堆客家文化園區,#無障礙#漫遊客庄#看展覽#親子共遊
美濃湖,#無障礙#打卡熱點
臺灣蠶蜂昆蟲教育園區,#無障礙#親子共遊
明德水庫風景區,#無障礙
美濃客家文物館,#無障礙#漫遊客庄
臺灣客家文化館,#無障礙#看展覽#漫遊客庄
台灣油礦陳列館,#無障礙#看展覽#博物館
屏東縣客家文物館,#無障礙#漫遊客庄#看展覽
捎來步道,#無障礙#登山步道
鄉土藝術館(邱家古厝),#無障礙#漫遊客庄
玉富自行車道,#無障礙#單車漫遊
六堆忠義亭,#無障礙#漫遊客庄#寺廟祈福
